Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
82,2008-02-01,32.4779052734375,32.70824496806364,31.63332639314166,31.925089589777162,9089201
83,2008-02-04,34.151702880859375,34.55095872418084,33.09214081869737,33.09214081869737,12009385
84,2008-02-05,35.21125411987305,35.671933316844346,33.476029977729375,34.21311585976858,14593303
85,2008-02-06,34.90415573120117,35.3187680919432,32.95394720277846,34.24384931661482,12429218
86,2008-02-07,33.26105499267578,35.610520727796235,33.04607173082633,34.428109663442704,11300078
87,2008-02-08,32.401123046875,33.752448325126515,31.802238217652647,33.476041544553034,13514197
88,2008-02-11,30.113082885742188,32.86180492093074,29.790606895172733,32.86180492093074,15133331
89,2008-02-12,29.575618743896484,31.21870913695467,29.329922692207266,31.019082266525263,10237627
90,2008-02-13,29.145647048950195,30.481615578482046,28.546764461036787,30.097716216641743,10395753
91,2008-02-14,31.69474983215332,32.01722582054656,29.790606694131572,29.790606694131572,12514003
92,2008-02-15,32.600746154785156,32.861798592782336,30.727316157221928,31.571894878899382,12080990
93,2008-02-18,32.416473388671875,33.33783407090294,32.1400666419539,33.33783407090294,6977153
94,2008-02-19,32.06329345703125,33.076788544706496,31.817597362626937,33.0000086453794,7226542
95,2008-02-20,31.264781951904297,31.771530541690318,30.91159524494065,31.756174145129272,5604999
96,2008-02-21,31.479766845703125,32.017226137414966,31.095867351623234,31.771530044646227,3874365
97,2008-02-22,31.080501556396484,31.280128399834606,30.113073874197514,30.435549768263837,2691220
98,2008-02-25,31.341554641723633,31.725454053492413,30.589112211214342,31.449047310133935,6270186
99,2008-02-26,31.464412689208984,31.909735717484825,31.310852880645715,31.63332889518622,7139423
100,2008-02-27,33.307125091552734,34.950213532029665,31.925087034417515,31.925087034417515,43223132
101,2008-02-28,34.24383544921875,34.50488787919798,33.16891710918969,33.629596397773575,35763847
102,2008-02-29,33.752445220947266,34.70451663587332,33.199631710642024,34.02885405888759,16477462
103,2008-03-03,32.33968734741211,33.41460759153577,31.9711443943685,32.27826386903605,10049153
104,2008-03-04,31.510467529296875,32.67752203651434,30.71195808535984,32.554675070612454,11485198
105,2008-03-05,32.09400177001953,32.247561547238995,30.742674480815563,31.664033144132357,8581053
106,2008-03-07,30.450916290283203,31.633327600959184,29.176368681681225,31.633327600959184,14251925
107,2008-03-10,30.342872619628906,30.55894550863708,28.598853187859326,30.49721069654105,11713659
108,2008-03-11,32.84315490722656,33.15183110432418,29.385981918402123,30.095935497051094,19665129
109,2008-03-12,32.00972366333008,33.9543837634292,31.701047523420506,33.73831088416131,12262350
110,2008-03-13,27.61109733581543,31.48498691327751,26.854840917006463,31.17631065308243,47000084
111,2008-03-14,29.509456634521484,29.632926297255317,27.811737258534865,28.38278706535985,35798540
112,2008-03-17,28.351909637451172,28.953827671848888,27.749991603053456,28.953827671848888,19211273
113,2008-03-18,28.598861694335938,29.15447935515201,27.84260321784877,28.305617586304702,12632937
114,2008-03-19,28.768625259399414,32.04059120757462,28.58341873125903,29.941592959808116,16449023
115,2008-03-24,29.04643440246582,29.84899327318553,28.41364784209192,29.84899327318553,11636914
116,2008-03-25,30.14223861694336,30.32744308186389,29.26251060520133,29.802693957905692,13232423
117,2008-03-26,29.9570255279541,30.682415280786245,29.632915168319652,29.94159130257265,11448313
118,2008-03-27,30.497203826904297,30.79044778165812,29.50944077583361,29.50944077583361,17425122
119,2008-03-28,30.558950424194336,30.790459670146095,29.756393551162457,30.63611947506343,11599511
120,2008-03-31,30.342872619628906,30.697851452533325,29.9415932009885,30.55894550863708,9914705
121,2008-04-01,30.404603958129883,30.836751780119346,30.018758809930667,30.558942017409567,6034588
122,2008-04-02,30.89848518371582,31.793647142942945,30.558940631363498,30.558940631363498,6087024
123,2008-04-03,30.65155029296875,31.11456454665859,30.404608938998656,30.975660689220486,3883474
124,2008-04-04,30.497203826904297,30.8521825798481,29.910720104083982,30.8521825798481,5906537
125,2008-04-07,30.373737335205078,30.682413451050273,30.018758545976777,30.543509617588715,4088729
126,2008-04-08,29.602054595947266,30.38917931078678,29.385981678412442,30.327442397195902,5753811
127,2008-04-09,29.67922592163086,29.94159945114415,29.33968124420827,29.694660151212716,3776374
128,2008-04-10,30.265705108642578,30.481778008555665,29.524883139413646,29.632918542698064,7075297
129,2008-04-11,30.404603958129883,30.713280076689255,30.09592783957051,30.558942017409567,4012660
130,2008-04-15,30.867637634277344,31.02197578058183,29.694667303694242,30.219416582460475,6362785
131,2008-04-16,30.4509220123291,31.39238506812608,30.32745024653485,31.176312094667338,4725794
132,2008-04-17,31.623886108398438,32.349273955965835,30.57438572381637,30.91393039686974,14831167
